Accuracies Name,Value
00007,50.0
00010,25.0
00011,25.0
00012,50.0
00014,25.0
00016,0
00019,50.0
00020,50.0
00029,25.0
00030,25.0
00034,50.0
00049,75.0
00060,75.0
00062,50.0
00063,50.0
00078,0
00084,50.0
00091,50.0
00100,75.0
00101,50.0
00105,25.0
00121,0
00127,0
00129,25.0
00141,50.0
00159,50.0
00163,25.0
00179,25.0
00180,25.0
00182,25.0
00196,25.0
00202,75.0
00224,50.0
00251,75.0
00255,0
00260,25.0
00269,25.0
00270,25.0
00275,25.0
00276,25.0
00282,25.0
00291,75.0
00293,25.0
00299,50.0
00302,75.0
00307,0
00308,25.0
00316,50.0
00321,25.0
00322,25.0
00331,25.0
00344,50.0
00346,50.0
00349,25.0
00352,25.0
00355,50.0
00360,25.0
00364,25.0
00372,25.0
00378,25.0
00392,25.0
00398,50.0
00400,25.0
00403,50.0
00410,25.0
00418,25.0
00422,25.0
00425,50.0
00438,25.0
00448,25.0
00460,50.0
00467,25.0
00469,25.0
00473,25.0
00476,75.0
00479,25.0
00486,50.0
00502,25.0
00506,25.0
00508,25.0
00520,25.0
00522,50.0
00523,50.0
00530,50.0
00531,75.0
00534,0
00551,50.0
00557,25.0
00585,25.0
00597,25.0
00606,25.0
00608,0
00609,25.0
00613,0
00624,25.0
00631,50.0
00635,25.0
00639,50.0
Location Average Accuracie,0.5714285714285714
Side Average Accuracie,0.673469387755102
Clock Average Accuracie,0.04081632653061224
Adjusted Average Accuracie,0.10204081632653061
